OrderID,Date,CustomerID,Product,Quantity,UnitPrice,ShippingAddress,PaymentMethod,OrderStatus,TrackingNumber,ItemsInCart,CouponCode,ReferralSource,TotalPrice
ORD200000,2023-01-04,C72649,MONITOR,5,570.62,928 MAIN ST,DEBIT CARD,SHIPPED,TRK37947903,7,SAVE10,INSTAGRAM,2853.1
ORD200001,2024-08-23,C75739,PHONE,2,151.35,823 MAIN ST,ONLINE,SHIPPED,TRK91186779,3,SAVE10,REFERRAL,302.7
ORD200002,2024-02-27,C81728,TABLET,5,550.68,512 MAIN ST,CREDIT CARD,CANCELLED,TRK42903982,8,FREESHIP,EMAIL,2753.4
ORD200003,2023-10-15,C33540,CHAIR,1,273.19,275 MAIN ST,DEBIT CARD,RETURNED,TRK62788070,5,SAVE10,FACEBOOK,273.19
ORD200004,2025-05-08,C81840,PRINTER,4,626.01,668 MAIN ST,ONLINE,DELIVERED,TRK29241424,8,SAVE10,EMAIL,2504.04
ORD200005,2023-10-23,C37249,PHONE,2,245.86,934 MAIN ST,CREDIT CARD,SHIPPED,TRK72976927,4,SAVE10,INSTAGRAM,491.72
ORD200006,2025-06-17,C83492,LAPTOP,1,664.42,986 MAIN ST,GIFT CARD,RETURNED,TRK96417362,6,SAVE10,FACEBOOK,664.42
ORD200007,2023-05-12,C41460,MONITOR,5,149.55,706 MAIN ST,CASH,SHIPPED,TRK78809193,9,FREESHIP,FACEBOOK,747.75
ORD200008,2025-04-02,C26817,PHONE,2,134.28,904 MAIN ST,GIFT CARD,CANCELLED,TRK61042692,2,NO_COUPON,EMAIL,268.56
ORD200009,2023-11-21,C31946,DESK,4,509.38,102 MAIN ST,CREDIT CARD,SHIPPED,TRK33478363,6,SAVE10,GOOGLE,2037.52
ORD200010,2023-12-29,C43443,TABLET,5,625.97,333 MAIN ST,CREDIT CARD,RETURNED,TRK98859248,9,WINTER15,INSTAGRAM,3129.85
